Ind	SpeciesID	SpeciesID	PCA1	PCA2	Group	Gr	SpeciesID	LEN_org	Name	LEN_Name	GeoGroup	PopGeo	SpName	NameBam	VcfOrder_calmd	LD1	LD2	Gr	GroupSamtools	SamName	GroupPCA1	GroupPCA2	GroupPCA_testULM	Region
1	HI.4257.001.BioOHT_15.H986_aln-pe.sorted	HI.4257.001.BioOHT_15.H986_calmd.bam	-11.266743	12.32826733	nov	N	H986	4	H986_N	6	E	NE	H986	15.H986	6	-16.2975377223619	0.205181296316299	1	N	H986_N	NHyb1	NHyb2	NHyb1	EA
15	HI.4257.001.BioOHT_65.P114_aln-pe.sorted	HI.4257.001.BioOHT_65.P114_calmd.bam	-10.831454	10.14730391	nov	N	P114	4	P114_N	6	E	NE	P114	65.P114	59	-16.8656312142049	0.563787525438739	1	N	P114_N	NHyb1	NHyb2	NHyb1	EA
11	HI.4257.001.BioOHT_55.P122_aln-pe.sorted	HI.4257.001.BioOHT_55.P122_calmd.bam	-10.654577	10.60935384	nov	N	P122	4	P122_N	6	E	NE	P122	55.P122	48	-16.1492984308443	0.250292572233951	1	N	P122_N	NHyb1	NHyb2	NHyb1	EA
8	HI.4257.001.BioOHT_38.R108_aln-pe.sorted	HI.4257.001.BioOHT_38.R108_calmd.bam	-11.652609	11.22211605	nov	N	R108	4	R108_N	6	E	NE	R108	38.R108	31	-13.9150436051972	-0.621838547123934	1	N	R108_N	NHyb1	NHyb2	NHyb1	EA
10	HI.4257.001.BioOHT_11.R22_aln-pe.sorted	HI.4257.001.BioOHT_11.R22_calmd.bam	-11.220799	10.63039506	nov	N	R22	3	R22_N	5	E	NE	R22	11.R22	2	-15.9621562914421	0.315177575664424	1	N	R22_N	NHyb1	NHyb2	NHyb1	EA
18	HI.4257.001.BioOHT_10.R69_aln-pe.sorted	HI.4257.001.BioOHT_10.R69_calmd.bam	-10.373728	9.18228458	nov	N	R69	3	R69_N	5	E	NE	R69	10.R69	1	-16.8938033129438	0.543134541210506	1	N	R69_N	N	N	N	EA
12	HI.4257.001.BioOHT_31.TR67_aln-pe.sorted	HI.4257.001.BioOHT_31.TR67_calmd.bam	-12.322232	10.39921564	nov	N	TR67	4	TR67_N	6	E	NE	TR67	31.TR67	24	-16.9477186622772	0.535242517557177	1	N	TR67_N	N	N	N	EA
20	HI.4257.001.BioOHT_24.TR88_aln-pe.sorted	HI.4257.001.BioOHT_24.TR88_calmd.bam	-5.871651	7.86677309	nov	N	TR88	4	TR88_N	6	E	NE	TR88	24.TR88	16	-16.3050546346267	0.349350105712992	1	N	TR88_N	NHyb1	NHyb2	NHyb1	EA
21	HI.4257.001.BioOHT_47.V14_aln-pe.sorted	HI.4257.001.BioOHT_47.V14_calmd.bam	-10.917427	7.19478829	nov	N	V14	3	V14_N	5	E	NE	V14	47.V14	39	-15.520483577613	-0.166686233965365	1	N	V14_N	NHyb1	NHyb2	NHyb1	EA
19	HI.4257.001.BioOHT_59.V19_aln-pe.sorted	HI.4257.001.BioOHT_59.V19_calmd.bam	-8.912118	7.88874405	nov	N	V19	3	V19_N	5	E	NE	V19	59.V19	52	-16.3375976512623	0.553233849198949	1	N	V19_N	NHyb1	NHyb2	NHyb1	EA
9	HI.4257.001.BioOHT_40.Yu141_aln-pe.sorted	HI.4257.001.BioOHT_40.Yu141_calmd.bam	-11.547206	11.04916958	nov	N	Yu141	5	Yu141_N	7	E	NE	Yu141	40.Yu141	34	-15.8779626609879	-0.186551054818077	1	N	Yu141_N	NHyb1	NHyb2	NHyb1	EA
17	HI.4257.001.BioOHT_4.Yu16_aln-pe.sorted	HI.4257.001.BioOHT_4.Yu16_calmd.bam	-12.541613	9.29914283	nov	N	Yu16	4	Yu16_N	6	E	NE	Yu16	4.Yu16	42	-12.9711426818509	-0.584693399591019	1	N	Yu16_N	NHyb1	NHyb2	NHyb1	EA
37	HI.4257.001.BioOHT_87.785401_aln-pe.sorted	HI.4257.001.BioOHT_87.785401_calmd.bam	47.809597	-0.45866766	ulm	U	785401	6	785401_U	8	E	UE	785401	87.785401	83	-0.210786126843248	0.04694585904264	4	U	785401_U	U	U	U1	EA
42	HI.4257.001.BioOHT_43.H1018_aln-pe.sorted	HI.4257.001.BioOHT_43.H1018_calmd.bam	48.428455	-0.5603416	ulm	U	H1018	5	H1018_U	7	A	UA	H1018	43.H1018	35	-0.121532955802406	-0.026469845448414	4	U	H1018_U	U	U	U1	NA
