#topo1 (H,(((A1,A2),N),U));
#topo2 (H,(((A1,A2),U),N));
#topo3 (H,((A1,A2),(N,U)));
#topo4 (H,(((A1,N),A2),U));
#topo5 (H,(((A1,N),U),A2));
#topo6 (H,((A1,N),(A2,U)));
#topo7 (H,(((A1,U),A2),N));
#topo8 (H,(((A1,U),N),A2));
#topo9 (H,((A1,U),(A2,N)));
#topo10 (H,(A1,(A2,(N,U))));
#topo11 (H,(A1,(N,(A2,U))));
#topo12 (H,(A1,(U,(A2,N))));
#topo13 (H,((A1,(A2,N)),U));
#topo14 (H,((A1,(A2,U)),N));
#topo15 (H,(A2,(A1,(N,U))));
topo1	topo2	topo3	topo4	topo5	topo6	topo7	topo8	topo9	topo10	topo11	topo12	topo13	topo14	topo15
54684	0	54600	43071	0	0	0	0	0	0	0	0	142485	0	0
207102	0	65520	9618	0	0	0	0	0	0	0	0	12600	0	0
83349	0	54600	71253	0	0	0	0	0	0	0	0	85638	0	0
222075	0	54600	9786	0	0	0	0	0	0	0	0	8379	0	0
226527	0	54600	8589	0	0	0	0	0	0	0	0	5124	0	0
230496	0	54600	4851	0	0	0	0	0	0	0	0	4893	0	0
222579	0	54600	7455	0	0	0	0	0	0	0	0	10206	0	0
217518	0	54600	12768	0	0	0	0	0	0	0	0	9954	0	0
219156	0	54600	12810	0	0	0	0	0	0	0	0	8274	0	0
42735	185640	54600	6510	0	0	0	0	0	0	0	0	5355	0	0
218127	0	54600	14700	0	0	0	0	0	0	0	0	7413	0	0
205842	0	54600	13902	0	0	0	0	0	0	0	0	20496	0	0
2331	14070	115416	1008	378	11088	378	0	756	127512	0	5544	2121	5544	8694
208131	0	54600	13692	0	0	0	0	0	0	0	0	18417	0	0
107268	0	54600	23394	0	0	0	0	0	0	0	0	109578	0	0
106554	0	54600	21147	0	0	0	0	0	0	0	0	112539	0	0
7245	90888	34062	504	11088	756	99792	0	11088	1890	0	756	2247	6804	27720
107184	0	54600	20244	0	0	0	0	0	0	0	0	112812	0	0
88641	9072	34230	1428	7560	11088	0	0	756	27720	0	110880	1575	0	1890
100947	10920	54600	19866	0	0	0	0	0	0	0	0	108507	0	0
22464	164148	36648	18294	3168	108	34848	0	1584	216	0	216	7602	2376	3168
81765	9600	58464	18015	108	4752	432	0	324	30096	0	1584	81312	6336	2052
116274	12480	37440	21189	0	0	0	0	0	0	0	0	107457	0	0
1962	8232	120594	2856	19008	378	5544	33264	5544	5886	2268	1296	1302	378	86328
17205	34008	174588	9528	108	3168	2376	0	216	3168	0	1584	13827	34848	216
5388	17730	83730	2496	810	11088	9342	2592	756	91356	36300	11880	2760	11700	6912
16584	21996	55332	2247	105912	48924	0	0	16848	4572	0	5796	1365	0	15264
198930	9360	29640	43890	0	0	0	0	0	0	0	0	13020	0	0
132090	23508	25656	10950	72	3168	1512	72	144	4176	11304	2088	45288	34668	144
167262	55692	31356	15963	468	0	9828	0	1404	0	0	0	11931	0	936
157473	22644	26520	13122	540	3168	12204	36	648	4752	0	1584	17733	33264	1152
57225	17622	19188	1860	6498	19296	1854	180	35928	15336	3960	90936	9891	9468	5598
61326	13950	23100	7404	3330	9000	810	180	540	15120	3960	90720	45690	17280	2430
3291	7194	79878	2415	49824	378	0	80784	7056	1026	5382	3294	1344	126	52848
65232	13740	18030	11814	7920	4590	11880	0	75240	6210	1710	21060	42654	2880	11880
184422	0	54600	43659	0	0	0	0	0	0	0	0	12159	0	0
12549	149610	22014	8838	72	34290	1584	0	144	7650	2268	7938	12891	34848	144
16968	9282	204204	15015	0	1638	0	0	0	36036	0	6552	5145	0	0
28905	184314	25194	5628	0	29484	0	0	0	4446	1404	7254	6573	1638	0
156075	76440	37440	13356	0	0	0	0	0	0	0	0	11529	0	0
214830	0	54600	16233	0	0	0	0	0	0	0	0	9177	0	0
208992	0	54600	22932	0	0	0	0	0	0	0	0	8316	0	0
6132	62580	27720	798	14112	504	119952	0	14112	1512	0	504	294	4284	42336
2100	12600	80220	1134	20160	252	7056	100800	7056	1980	3600	720	1470	252	55440
24672	12504	56652	2331	4572	21816	0	0	47088	100944	0	15264	1365	0	7632
8358	6048	81228	735	756	14112	0	0	504	155232	0	21168	1155	0	5544
9303	86352	34062	3129	11088	1134	94248	0	16632	1890	0	756	2100	6426	27720
232598	22360	6240	14847	0	0	0	0	0	0	0	0	18795	0	0
819	756	122094	5166	9072	756	168	2016	11256	8694	0	756	3843	0	129444
101724	0	54600	60102	0	0	0	0	0	0	0	0	78414	0	0
16044	27468	28077	10584	30492	14616	17451	6804	4725	47733	10647	27027	7980	15078	30114
51513	10920	54600	43617	0	0	0	0	0	0	0	0	134190	0	0
205611	0	54600	16926	0	0	0	0	0	0	0	0	17703	0	0
124971	0	54600	25641	0	0	0	0	0	0	0	0	89628	0	0
95655	0	54600	71505	0	0	0	0	0	0	0	0	73080	0	0
87024	0	54600	78582	0	0	0	0	0	0	0	0	74634	0	0
42819	0	54600	33390	0	0	0	0	0	0	0	0	164031	0	0
57204	9072	28224	84	4788	19656	0	0	882	35280	0	134064	1806	1512	2268
197568	0	32760	50463	0	0	0	0	0	0	0	0	14049	0	0
99249	11440	4160	162561	0	0	0	0	0	0	0	0	17430	0	0
237174	0	32760	11592	0	0	0	0	0	0	0	0	13314	0	0
94794	0	32760	70308	0	0	0	0	0	0	0	0	96978	0	0
209601	0	32760	41223	0	0	0	0	0	0	0	0	11256	0	0
35343	0	32760	92568	0	0	0	0	0	0	0	0	134169	0	0
248808	0	32760	7308	0	0	0	0	0	0	0	0	5964	0	0
243747	0	32760	11697	0	0	0	0	0	0	0	0	6636	0	0
16443	10920	240240	17976	0	0	0	0	0	0	0	0	9261	0	0
261865	3640	6760	10080	0	0	0	0	0	0	0	0	12495	0	0
7896	213486	9282	7539	0	37674	0	0	0	1638	0	4914	12411	0	0
21840	0	251160	9660	0	0	0	0	0	0	0	0	12180	0	0
7791	0	222768	13020	0	0	0	1638	4914	0	0	0	7035	0	37674
211806	10920	10920	12705	0	0	0	0	0	0	0	0	48489	0	0
279195	0	0	7077	0	0	0	0	0	0	0	0	8568	0	0
242193	0	0	42378	0	0	0	0	0	0	0	0	10269	0	0
231798	0	0	9576	0	0	0	0	0	0	0	0	53466	0	0
