#topo1 (H,(((A1,A2),N),U));
#topo2 (H,(((A1,A2),U),N));
#topo3 (H,((A1,A2),(N,U)));
#topo4 (H,(((A1,N),A2),U));
#topo5 (H,(((A1,N),U),A2));
#topo6 (H,((A1,N),(A2,U)));
#topo7 (H,(((A1,U),A2),N));
#topo8 (H,(((A1,U),N),A2));
#topo9 (H,((A1,U),(A2,N)));
#topo10 (H,(A1,(A2,(N,U))));
#topo11 (H,(A1,(N,(A2,U))));
#topo12 (H,(A1,(U,(A2,N))));
#topo13 (H,((A1,(A2,N)),U));
#topo14 (H,((A1,(A2,U)),N));
#topo15 (H,(A2,(A1,(N,U))));
topo1	topo2	topo3	topo4	topo5	topo6	topo7	topo8	topo9	topo10	topo11	topo12	topo13	topo14	topo15
853020	0	0	0	0	0	0	0	0	0	0	0	31500	0	0
0	0	68040	0	0	0	0	0	0	62937	0	0	0	0	753543
0	0	884520	0	0	0	0	0	0	0	0	0	0	0	0
412776	0	0	298116	0	0	0	0	0	0	0	0	173628	0	0
6426	0	819000	58590	0	0	0	0	0	0	0	0	504	0	0
884520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
881244	0	0	3276	0	0	0	0	0	0	0	0	0	0	0
243243	0	0	64638	0	34020	0	0	0	0	0	0	542619	0	0
850500	0	0	0	0	34020	0	0	0	0	0	0	0	0	0
751212	0	0	91791	0	34020	0	0	0	0	0	0	7497	0	0
850500	0	0	0	0	34020	0	0	0	0	0	0	0	0	0
850500	0	0	0	0	34020	0	0	0	0	0	0	0	0	0
0	850500	0	0	0	0	0	0	0	0	0	0	0	34020	0
829143	0	0	1953	0	34020	0	0	0	0	0	0	19404	0	0
850500	0	0	12960	21060	0	0	0	0	0	0	0	0	0	0
746298	0	0	47250	0	34020	0	0	0	0	0	0	56952	0	0
798462	0	31500	1134	0	32760	0	0	0	0	900	360	19404	0	0
778050	234	29925	0	225	31122	78	75	40953	960	0	288	9	1326	1275
303030	312	29925	22932	300	31122	0	0	40950	180	60	1008	452100	1326	1275
172683	546	29925	386715	750	31131	858	858	40950	627	171	399	218673	234	0
519858	11505	42168	0	3600	94500	10362	1440	173310	5256	540	2520	192	9693	9576
642852	4608	51408	0	3024	53550	4374	6048	113400	0	2856	1428	0	972	0
642600	7119	51660	0	0	53550	891	6048	113400	1428	2856	0	0	1944	3024
567000	4932	51660	0	0	53550	1377	6048	113400	1428	2856	0	75600	3645	3024
567006	768	59886	102375	150	29925	243	2100	39375	684	1596	114	78750	648	900
748125	1491	59898	0	0	29925	0	1950	39375	912	1482	0	0	162	1200
748125	0	63000	0	0	31500	0	0	0	960	960	600	39375	0	0
765135	0	63000	21735	0	31500	0	0	0	960	1080	480	630	0	0
20349	0	819000	9576	0	1260	0	0	0	780	30960	1020	1575	0	0
573750	23250	16500	39375	27165	4860	750	1335	9375	0	0	0	187500	0	660
0	0	884520	0	0	0	0	0	0	0	0	0	0	0	0
175266	0	65520	567693	0	0	0	0	0	0	0	0	76041	0	0
0	819000	65520	0	0	0	0	0	0	0	0	0	0	0	0
845520	31200	7800	0	0	0	0	0	0	0	0	0	0	0	0
1386	199584	16128	252	0	24192	12096	0	504	48384	0	0	378	580608	1008
760500	29640	12480	78624	0	0	0	0	0	0	0	0	3276	0	0
707616	0	98280	75348	0	0	0	0	0	0	0	0	3276	0	0
734136	31200	40560	78624	0	0	0	0	0	0	0	0	0	0	0
853320	17160	14040	0	0	0	0	0	0	0	0	0	0	0	0
32760	0	851760	0	0	0	0	0	0	0	0	0	0	0	0
85428	0	98280	697788	0	0	0	0	0	0	0	0	3024	0	0
133056	0	98280	6048	0	0	0	0	0	0	0	0	647136	0	0
674226	0	163800	35910	0	0	0	0	0	0	0	0	10584	0	0
691236	0	98280	63063	0	0	0	0	0	0	0	0	31941	0	0
8757	0	98280	74214	0	0	0	0	0	0	0	0	703269	0	0
395010	0	98280	270837	0	0	0	0	0	0	0	0	120393	0	0
0	0	0	0	27846	0	37107	245511	2394	40446	1953	126	0	0	529137
63	0	42588	567	0	0	0	715806	31122	0	0	0	1008	0	93366
753669	0	98280	378	0	0	0	0	0	0	0	0	32193	0	0
769860	4680	28080	52416	0	0	0	0	0	0	0	0	29484	0	0
707616	0	98280	78624	0	0	0	0	0	0	0	0	0	0	0
707616	0	98280	75348	0	0	0	0	0	0	0	0	3276	0	0
881244	0	0	3276	0	0	0	0	0	0	0	0	0	0	0
810810	0	0	63882	0	0	0	0	0	0	0	0	9828	0	0
339066	0	0	51786	0	0	0	0	0	0	0	0	493668	0	0
823536	0	0	58338	0	0	0	0	0	0	0	0	2646	0	0
882	231462	1638	126	0	40950	95193	882	882	0	40950	0	630	470925	0
812196	0	0	57582	0	0	0	0	0	0	0	0	14742	0	0
1638	81648	50400	945	0	48384	0	6300	504	6300	686448	504	1449	0	0
76104	12096	50400	77742	12600	48384	0	0	1008	0	0	604800	1386	0	0
819126	0	0	52290	0	0	0	0	0	0	0	0	13104	0	0
796068	0	0	0	0	0	0	0	0	0	0	0	88452	0	0
884520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
285768	0	0	23814	0	0	0	0	0	0	0	0	574938	0	0
63	0	55692	315	25704	0	0	21168	126	88200	0	252	1764	0	691236
2898	435708	373464	26712	4914	0	22932	13104	1638	0	0	0	1512	0	1638
752724	0	65520	63378	0	0	0	0	0	0	0	0	2898	0	0
756630	0	65520	20412	0	0	0	0	0	0	0	0	41958	0	0
633339	0	196560	52353	0	0	0	0	0	0	0	0	2268	0	0
824418	0	32760	23436	0	0	0	0	0	0	0	0	3906	0	0
843045	9360	1560	9639	0	0	0	0	0	0	0	0	20916	0	0
3150	32760	819000	25452	0	0	0	0	0	0	0	0	4158	0	0
827568	0	0	49896	0	0	0	0	0	0	0	0	7056	0	0
1701	85050	0	25515	0	680400	0	0	3402	0	85050	3402	0	0	0
315	3150	104832	0	85176	22050	3150	0	252	658476	3150	126	567	0	3276
114660	0	0	709506	0	0	0	0	0	0	0	0	60354	0	0
761481	0	0	64071	0	0	0	0	0	0	0	0	58968	0	0
817236	0	0	44982	0	0	0	0	0	0	0	0	22302	0	0
762237	0	0	69804	0	0	0	0	0	0	0	0	52479	0	0
808290	0	0	66402	0	0	0	0	0	0	0	0	9828	0	0
809172	0	0	67158	0	0	0	0	0	0	0	0	8190	0	0
88452	0	0	29484	0	0	0	0	0	0	0	0	766584	0	0
88452	0	0	29484	0	0	0	0	0	0	0	0	766584	0	0
773136	0	0	29484	0	0	0	0	0	0	0	0	81900	0	0
103194	196560	556920	27846	0	0	0	0	0	0	0	0	0	0	0
881244	0	0	1638	0	0	0	0	0	0	0	0	1638	0	0
820260	0	0	32760	0	0	0	0	0	0	0	0	31500	0	0
844956	0	0	37863	0	0	0	0	0	0	0	0	1701	0	0
881244	0	0	3276	0	0	0	0	0	0	0	0	0	0	0
881244	0	0	1638	0	0	0	0	0	0	0	0	1638	0	0
881244	0	0	3276	0	0	0	0	0	0	0	0	0	0	0
826056	0	0	26208	0	0	0	0	0	0	0	0	32256	0	0
881244	0	0	3276	0	0	0	0	0	0	0	0	0	0	0
699426	0	0	174510	0	0	0	0	0	0	0	0	10584	0	0
33579	0	819000	28413	0	0	0	0	0	0	0	0	3528	0	0
155484	0	0	58779	0	0	0	0	0	0	0	0	670257	0	0
771687	0	0	27342	0	0	0	0	0	0	0	0	85491	0	0
772128	0	0	27090	0	0	0	0	0	0	0	0	85302	0	0
3087	75600	53424	2772	252	48384	75600	11844	4032	24192	556416	24192	1197	0	3528
798588	0	0	45423	0	0	0	0	0	0	0	0	40509	0	0
826686	0	0	27594	0	0	0	0	0	0	0	0	30240	0	0
8442	39312	630	5796	189	368550	85176	378	19278	2142	40950	26271	1953	285012	441
822654	0	0	28098	0	0	0	0	0	0	0	0	33768	0	0
828009	0	0	25641	0	0	0	0	0	0	0	0	30870	0	0
825363	0	0	29232	0	0	0	0	0	0	0	0	29925	0	0
824544	0	0	27405	0	0	0	0	0	0	0	0	32571	0	0
834750	0	0	46242	0	0	0	0	0	0	0	0	3528	0	0
857367	0	0	22428	0	0	0	0	0	0	0	0	4725	0	0
827064	0	0	49644	0	0	0	0	0	0	0	0	7812	0	0
822024	0	0	54306	0	0	0	0	0	0	0	0	8190	0	0
802620	0	0	30996	0	0	0	0	0	0	0	0	50904	0	0
189	210357	0	315	567	13608	183519	630	630	0	1512	63	63	473004	63
271908	556920	32760	21231	0	0	0	0	0	0	0	0	1701	0	0
744210	117000	0	21798	0	0	0	0	0	0	0	0	1512	0	0
854280	0	0	21987	0	0	0	0	0	0	0	0	8253	0	0
827064	0	0	49644	0	0	0	0	0	0	0	0	7812	0	0
857367	0	0	25452	0	0	0	0	0	0	0	0	1701	0	0
196560	11025	20412	0	11466	0	0	441	0	1701	20475	532350	90090	0	0
201600	0	32760	8190	0	0	0	0	0	0	0	0	641970	0	0
0	15750	124110	1701	0	189	3150	567000	26775	1008	7560	0	3024	4851	129402
23373	189000	18585	5229	315	567000	0	0	7560	47250	0	23625	1953	0	630
171612	20475	43974	121023	77112	102816	18648	9072	57456	11466	6048	28728	195741	5733	14616
0	0	309582	0	180180	0	0	178542	0	0	0	0	0	0	216216
796068	0	0	88452	0	0	0	0	0	0	0	0	0	0	0
796068	0	0	88452	0	0	0	0	0	0	0	0	0	0	0
796068	0	0	88452	0	0	0	0	0	0	0	0	0	0	0
29673	0	786240	47754	0	0	0	0	0	0	0	0	20853	0	0
881244	0	0	3276	0	0	0	0	0	0	0	0	0	0	0
0	0	176904	0	52416	0	0	0	0	0	0	0	0	0	655200
841743	0	0	37548	0	0	0	0	0	0	0	0	5229	0	0
20160	163296	0	4536	0	680400	6804	0	6804	0	0	0	2520	0	0
706860	0	98280	75600	0	0	0	0	0	0	0	0	3780	0	0
23562	88452	619164	51786	0	0	0	0	0	68796	0	9828	13104	9828	0
11781	14175	19656	86625	4536	61425	0	0	1134	1512	4725	642789	17451	14175	4536
122283	0	0	62748	0	0	0	0	0	0	0	0	699489	0	0
32760	0	851760	0	0	0	0	0	0	0	0	0	0	0	0
835884	0	0	47124	0	0	0	0	0	0	0	0	1512	0	0
884520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180306	0	0	10206	0	0	0	0	0	0	0	0	694008	0	0
17010	3402	20412	0	425250	0	0	85050	0	7938	378	1890	0	0	323190
115668	0	0	88074	0	0	0	0	0	0	0	0	680778	0	0
188244	0	0	7938	0	0	0	0	0	0	0	0	688338	0	0
